"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
6771,"Engels              ","utca","Szőreg",0,,0,
6720,"Eötvös              ","utca",,0,,0,
6728,"Eper                ","utca",,0,,0,
6723,"Eperjesi            ","sor",,0,,0,
6723,"Építő               ","utca",,0,,0,
6727,"Érc                 ","utca",,0,,0,
6710,"Erdei Ferenc        ","utca","Szentmihály",0,,0,
6726,"Erdélyi             ","tér",,0,,0,
6723,"Erdő                ","utca",,0,,0,
6728,"Erdőkerülő","utca","Baktó",0,,0,
6791,"Erdőstarcsa         ","utca","Kiskundorozsma",0,,0,
6728,"Erdőszéli","utca","Baktó",0,,0,
6791,"Erkel               ","utca","Kiskundorozsma",0,,0,
6723,"Erős János          ","utca",,0,,0,
6791,"Erzsébet            ","utca","Kiskundorozsma",0,,0,
6710,"Estike              ","utca","Szentmihály",0,,0,
6791,"Északi              ","sor","Kiskundorozsma",0,,0,
6753,"Esze Tamás          ","utca","Tápé",0,,0,
6726,"Eszter              ","utca",,0,,0,
6723,"Etelka              ","sor",,0,,0,
6753,"Éva                 ","utca","Tápé",0,,0,
6726,"Evező","köz",,0,,0,
6727,"Ezüst               ","utca",,0,,0,
6771,"Fácán               ","utca","Szőreg",0,,0,
6727,"Fadrusz             ","utca",,0,,0,
6753,"Fagyöngy","utca","Tápé",0,,0,
6791,"Fahéj","utca","Kiskundorozsma",0,,0,
6726,"Fakopáncs           ","utca",,0,,0,
6791,"Faragó","dűlő","Kiskundorozsma",0,,0,
6725,"Faragó              ","utca",,0,,0,
6725,"Farkas              ","utca",,0,,0,
6729,"Fátyolka","utca","Tompasziget",0,,0,
6723,"Fecske              ","utca",,0,,0,
6710,"Fehérpart           ","utca","Szentmihály",0,,0,
6727,"Fehértó             ","utca",,0,,0,
6720,"Feketesas           ","utca",,0,,0,
6791,"Fél                 ","utca","Kiskundorozsma",0,,0,
6729,"Felebarát","köz",,0,,0,
6725,"Felhő               ","utca",,0,,0,
6726,"Felső Kikötő        ","sor",,0,,0,
6721,"Felső-Tisza         ","part",,1,,24,
6723,"Felső-Tisza         ","part",,-3,,0,
6728,"Felsővárosi Fekete Földek",,,0,,0,
6753,"Fenyves             ","utca","Tápé",0,,0,
6727,"Fenyves-lejtő       ","sor",,0,,0,
6721,"Festő               ","utca",,0,,0,
6726,"Fésű                ","utca",,0,,0,
6753,"Fiume               ","utca","Tápé",0,,0,
6726,"Flóra               ","utca",,0,,0,
6726,"Fogarasi            ","utca",,0,,0,
6728,"Fonógyári","út",,0,,0,
6728,"Forradalom          ","utca",,0,,0,
6791,"Forrai              ","utca","Kiskundorozsma",0,,0,
6726,"Fő","fasor",,0,,0,
6727,"Fő                  ","tér",,0,,0,
6771,"Föld                ","utca","Szőreg",0,,0,
6725,"Földmíves           ","utca",,0,,0,
6791,"Földszél            ","utca","Kiskundorozsma",0,,0,
6722,"Földváry            ","utca",,0,,0,
6724,"Föltámadás          ","utca",,0,,0,
6725,"Fővám               ","köz",,0,,0,
6725,"Fraknói             ","utca",,0,,0,
6724,"Francia             ","utca",,0,,0,
6724,"Fricsay             ","utca",,0,,0,
6729,"Futrinka","utca","Tompasziget",0,,0,
6727,"Füge                ","sor",,0,,0,
6726,"Fülemüle            ","utca",,0,,0,
6726,"Fürdő               ","utca",,0,,0,
6721,"Füredi              ","utca",,0,,0,
6724,"Fürész              ","utca",,0,,0,
6726,"Fürj                ","utca",,0,,0,
6729,"Fürkész","utca","Tompasziget",0,,0,
6727,"Fürst Sándor        ","utca",,0,,0,
6791,"Fürt                ","utca","Kiskundorozsma",0,,0,
6729,"Fűtőház","köz",,0,,0,
6724,"Fűtőmű              ","utca",,0,,0,
6726,"Füvészkert          ","utca",,0,,0,
