"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
3533,"Felsőszinva            ","utca",,0,,0,
3532,"Fém                    ","utca",,0,,0,
3510,"Fény","út","Pereces",0,,0,
3535,"Fényesvölgyi           ","utca",,0,,0,
3529,"Fényi Gyula            ","tér",,0,,0,
3510,"Fenyő","út","Szarkahegy",0,,0,
3519,"Fenyő                  ","utca       ","Tapolca",0,,0,
3534,"Fenyves                ","utca",,0,,0,
3532,"Ferenc                 ","utca",,0,,0,
3534,"Ferenczi Sándor        ","utca",,0,,0,
3525,"Feszty Árpád           ","utca",,0,,0,
3518,"Finkey József          ","utca       ","Pereces",0,,0,
3508,"Fogarasi               ","utca",,0,,0,
3527,"Fonoda                 ","utca",,0,,0,
3528,"Forgács Antal          ","utca",,0,,0,
3525,"Forrásvölgy            ","utca",,0,,0,
3530,"Földes Ferenc          ","utca",,0,,0,
3528,"Fövényszer             ","utca",,0,,0,
3528,"Franklin Benjámin      ","utca",,0,,0,
3508,"Futó                   ","utca",,0,,0,
3516,"Fuvola","utca","Görömböly",0,,0,
3518,"Fülemile               ","utca       ","Pereces",0,,0,
3535,"Fülep József           ","utca",,0,,0,
3533,"Fürdő                  ","utca",,0,,0,
3519,"Fürj                   ","utca       ","Tapolca",0,,0,
3531,"Füzes                  ","utca",,0,,0,
3531,"Gábor Áron             ","utca",,0,,0,
3534,"Gagarin                ","utca",,0,,0,
3525,"Galagonyás             ","sor",,0,,0,
3532,"Gálffy Ignác           ","utca",,0,,0,
3528,"Ganz Ábrahám           ","utca",,0,,0,
3510,"Garád","út","Lyukó",0,,0,
3517,"Garadnavölgy","völgy",,0,,0,
3528,"Garam                  ","utca",,0,,0,
3519,"Garas Sámuel           ","utca       ","Tapolca",0,,0,
3508,"Garbai Sándor          ","utca",,0,,0,
3508,"Gárdonyi Géza          ","utca",,0,,0,
3508,"Gátőr                  ","utca",,0,,0,
3521,"Gémeskert(Szirma)","kert     ","Szirma",0,,0,
3532,"Gépész                 ","utca",,0,,0,
3510,"Gerbera","út","Pereces",0,,0,
3532,"Gergely                ","köz",,0,,0,
3519,"Gerle                  ","utca       ","Tapolca",0,,0,
3530,"Geró János             ","utca",,0,,0,
3529,"Gesztenyés             ","utca",,0,,0,
3532,"Géza                   ","utca",,0,,0,
3516,"Ginzery Sándor         ","utca",,0,,0,
3534,"Gitár","utca",,0,,0,
3530,"Gizella                ","utca",,0,,0,
3533,"Glanzer Miksa          ","utca",,0,,0,
3529,"Gombos Pál             ","utca",,0,,0,
3533,"Gorkij                 ","sor",,0,,0,
3533,"Gózon Lajos            ","utca",,0,,0,
3526,"Gömöri                 ","tér",,0,,0,
3529,"Görgey Artúr           ","utca",,-3,,0,
3530,"Görgey Artúr           ","utca",,1,,21,
3530,"Görgey Artúr           ","utca",,2,,26,
3516,"Görgős                 ","utca       ","Görömböly",0,,0,
3532,"Görögszőlő             ","utca",,0,,0,
3519,"Görömbölyi","út","Tapolca",0,,0,
3534,"Gőz                    ","utca",,0,,0,
3508,"Gránátalma             ","utca",,0,,0,
3501,"Gubacska               ","tanya",,0,,0,
3519,"Gubás                  ","utca",,0,,0,
3528,"Gutenberg              ","utca",,0,,0,
3528,"Gvadányi József        ","utca",,0,,0,
3531,"Gyár                   ","utca",,0,,0,
3535,"Gyertyán               ","utca",,0,,0,
3527,"Gyimesi                ","utca",,0,,0,
3526,"Gyóni Géza             ","utca",,0,,0,
3528,"Gyöngyösi István       ","utca",,0,,0,
3529,"Gyöngyvirág            ","utca",,0,,0,
3531,"Győri","kapu",,0,,0,
3530,"Győri                  ","sor",,0,,0,
3519,"Győri                  ","utca       ","Tapolca",0,,0,
3532,"Gyula                  ","utca",,0,,0,
3530,"Hadirokkantak          ","útja",,0,,0,
3534,"Hajdú                  ","utca",,0,,0,
3533,"Hajnal                 ","utca",,0,,0,
3521,"Hajnóczy József        ","utca       ","Szirma",0,,0,
3524,"Hajós Alfréd           ","utca",,0,,0,
3508,"Haladás                ","utca",,0,,0,
3527,"Halász                 ","utca",,0,,0,
3534,"Haller György          ","utca",,0,,0,
3521,"Halom                  ","utca       ","Szirma",0,,0,
3533,"Hamerák Mihály         ","utca",,0,,0,
3517,"Hámor","sétány","Lillafüred",0,,0,
3521,"Harang                 ","utca",,0,,0,
3519,"Harkály                ","utca       ","Tapolca",0,,0,
3533,"Harmadik               ","utca",,0,,0,
3527,"Harmat                 ","utca",,0,,0,
3516,"Harsányi               ","utca       ","Görömböly",0,,0,
3535,"Hársfa                 ","utca",,0,,0,
3533,"Hatodik                ","utca",,0,,0,
3519,"Hattyú                 ","utca       ","Tapolca",0,,0,
3526,"Hatvanötösök           ","útja",,0,,0,
3535,"Havas                  ","utca",,0,,0,
3518,"Havasszépe","utca","Pereces",0,,0,
3534,"Hegedű ","utca",,0,,0,
3535,"Hegyalja               ","út",,0,,0,
3535,"Hegyes                 ","utca",,0,,0,
3508,"Hejő                   ","utca",,0,,0,
3533,"Hengerész              ","utca",,0,,0,
3518,"Hérics                 ","utca","Pereces",0,,0,
3532,"Herman Ottó            ","utca",,0,,0,
3527,"Hernád                 ","utca",,0,,0,
3533,"Hetedik                ","utca",,0,,0,
3510,"Híd","út","Pereces",0,,0,
3508,"Híd                    ","utca",,0,,0,
3531,"Hideg                  ","sor",,0,,0,
3508,"Hock János             ","utca",,0,,0,
3531,"Hold                   ","utca",,0,,0,
3528,"Hollán Ernő            ","utca",,0,,0,
3535,"Holló                  ","utca",,0,,0,
3535,"Homok                  ","utca",,0,,0,
3519,"Homonnai               ","utca       ","Tapolca",0,,0,
3518,"Honszerző              ","utca       ","Pereces",0,,0,
3535,"Honvéd                 ","utca",,0,,0,
3516,"Hordó                  ","utca",,0,,0,
3525,"Horváth Lajos          ","utca",,0,,0,
3535,"Hóvirág                ","utca",,0,,0,
3525,"Hősök tere","tér",,0,,0,
3526,"Huba                   ","utca",,0,,0,
3534,"Hunfalvy Pál           ","utca",,0,,0,
3530,"Hunyadi János          ","utca",,0,,0,
3526,"Huszár                 ","utca",,0,,0,
3531,"Hutás                  ","utca",,0,,0,
3535,"Ibolya                 ","utca",,0,,0,
3529,"Ifjúság                ","útja",,0,,0,
3508,"Igazság                ","utca",,0,,0,
3519,"Iglói                  ","utca       ","Tapolca",0,,0,
3532,"Illyés Gyula           ","utca",,0,,0,
3519,"Imreh Zsigmond         ","utca",,0,,0,
3528,"Ipoly                  ","utca",,0,,0,
3530,"Irányi Dániel          ","utca",,0,,0,
3534,"Irinyi János           ","utca",,0,,0,
3529,"Irisz                  ","utca",,0,,0,
3533,"Irma                   ","utca",,0,,0,
3519,"Isaszeg                ","utca       ","Tapolca",0,,0,
3528,"Iskola                 ","tér",,0,,0,
3501,"Istenhegy              ","dűlő",,0,,0,
3528,"Istvánffy Gyula        ","utca",,0,,0,
3534,"Iván                   ","utca",,0,,0,
3508,"Izsó Miklós            ","utca",,0,,0,
3510,"Jácint","út","Lyukó",0,,0,
3535,"János                  ","utca",,0,,0,
3531,"Jánosi Ferenc          ","utca",,0,,0,
3533,"Jászai Mari            ","utca",,0,,0,
3529,"Jászi Oszkár           ","utca",,0,,0,
3517,"Jávorkút","kút",,0,,0,
3535,"Jázmin                 ","utca",,0,,0,
3533,"Jedlik Ányos           ","utca",,0,,0,
3508,"Jegenyés               ","utca",,0,,0,
3510,"Jégvirág","út","Lyukó",0,,0,
3528,"Jendrassik György      ","utca",,0,,0,
3521,"Jenke                  ","tanya",,0,,0,
3521,"Jenkei                 ","utca",,0,,0,
3519,"Jogász                 ","utca",,0,,0,
3525,"Jókai Mór              ","utca",,0,,0,
3518,"Jónáshegy","hegy",,0,,0,
3524,"Jósika Miklós          ","utca",,0,,0,
3528,"Jósva                  ","utca",,0,,0,
3518,"Jószerencse            ","utca       ","Pereces",0,,0,
3531,"József                 ","utca",,0,,0,
3527,"József Attila          ","telep",,0,,0,
3527,"József Attila          ","utca",,0,,0,
3535,"Juhász Gyula           ","utca",,0,,0,
