"IRSZ.","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
7621,"Eötvös              ","utca",,0,,0,
7630,"Eper                ","utca",,0,,0,
7628,"Eperfás             ","út",,0,,0,
7623,"Eperjes             ","utca",,0,,0,
7633,"Építők              ","útja",,0,,0,
7635,"Epres               ","köz",,0,,0,
7634,"Ércbányász          ","utca",,0,,0,
7632,"Erdei Ferenc        ","utca",,0,,0,
7632,"Erdély              ","utca",,0,,0,
7635,"Erdész              ","köz",,0,,0,
7635,"Erdész              ","utca",,0,,0,
7691,"Erdőalja            ","utca","Vasas",0,,0,
7632,"Erika               ","utca",,0,,0,
7633,"Erkel Ferenc        ","utca",,0,,0,
7623,"Erreth Lajos        ","utca",,0,,0,
7626,"Erzsébet            ","utca",,0,,0,
7623,"Est                 ","utca",,0,,0,
7632,"Északmegyer         ","dűlő",,0,,0,
7624,"Esze Tamás          ","utca",,0,,0,
7632,"Eszék               ","utca",,0,,0,
7628,"Eszperantó          ","utca",,0,,0,
7632,"Esztergályos János  ","utca",,0,,0,
7633,"Esztergár Lajos     ","utca",,0,,0,
7632,"Etelka              ","utca",,0,,0,
7622,"Európa","tér",,0,,0,
7632,"Éva                 ","utca",,0,,0,
7634,"Ezerjó              ","dűlő",,0,,0,
7631,"Ezis                ","utca",,0,,0,
7635,"Fábián Béla         ","köz",,0,,0,
7635,"Fábián Béla         ","utca",,0,,0,
7635,"Fácán               ","dűlő",,0,,0,
7631,"Fagyal              ","utca",,0,,0,
7636,"Fagyöngy            ","utca",,0,,0,
7633,"Faludi Ferenc       ","utca",,0,,0,
7626,"Farkas István       ","utca",,0,,0,
7630,"Fátyol              ","utca",,0,,0,
7636,"Fáy András          ","utca",,0,,0,
7632,"Fazekas Mihály      ","utca",,0,,0,
7635,"Fecske              ","dűlő",,0,,0,
7629,"Fehérhegyi          ","út",,0,,0,
7628,"Fehérkúti","turistaház",,0,,0,
7629,"Feitig Imre         ","utca",,0,,0,
7624,"Fejér Lipót         ","utca",,0,,0,
7628,"Fejlődés            ","utca",,0,,0,
7635,"Fekete              ","utca",,0,,0,
7629,"Fekete Gyémánt      ","tér",,0,,0,
7630,"Feketerigó          ","utca",,0,,0,
7634,"Felhő               ","utca",,0,,0,
7621,"Fellbach","tér",,0,,0,
7623,"Fellbach","utca",,0,,0,
7636,"Felső               ","utca",,0,,0,
7626,"Felsőbalokány       ","utca",,0,,0,
7627,"Felsőgyükés         ","dűlő",,0,,0,
7627,"Felsőgyükési        ","út",,0,,0,
7625,"Felsőhavi           ","utca",,0,,0,
7627,"Felsőhavi           ","dűlő",,0,,0,
7628,"Felső-homok","dülő",,0,,0,
7635,"Felsőmakár          ","dűlő",,0,,0,
7621,"Felsőmalom          ","utca",,0,,0,
7626,"Felsővámház         ","utca",,0,,0,
7636,"Fenyer              ","dűlő",,0,,0,
7691,"Fenyő               ","utca","Vasas",0,,0,
7635,"Fenyves             ","sor",,0,,0,
7625,"Ferenc              ","utca",,0,,0,
7621,"Ferencesek          ","utcája",,-1,,0,
7624,"Ferencesek          ","utcája",,-2,,0,
7630,"Finn","utca",,0,,0,
7626,"Fischer Béla        ","utca",,0,,0,
7621,"Flórián             ","tér",,0,,0,
7627,"Flórián             ","utca",,0,,0,
7634,"Fogadó              ","utca",,0,,0,
7624,"Fogaras             ","utca",,0,,0,
7635,"Fogoly              ","dűlő",,0,,0,
7624,"Forbát Alfréd       ","utca",,0,,0,
7635,"Forduló","köz",,0,,0,
7634,"Forrás              ","dűlő",,0,,0,
7628,"Fosztó-Völgyi","út",,0,,0,
7631,"Fő                  ","tér",,0,,0,
7634,"Fő                  ","utca",,0,,0,
7632,"Földes Ferenc       ","utca",,0,,0,
7630,"Francia ","utca",,0,,0,
7629,"Frankel Leó         ","utca",,0,,0,
7635,"Füge                ","dűlő",,0,,0,
7634,"Fülemüle            ","utca",,0,,0,
7632,"Fülep Lajos         ","utca",,0,,0,
7621,"Fürdő               ","utca",,0,,0,
7630,"Fürj                ","utca",,0,,0,
7635,"Fürkész","dülő",,0,,0,
7634,"Fürt                ","dűlő",,0,,0,
7628,"Füst                ","utca",,0,,0,
7631,"Füzes               ","dűlő",,0,,0,
7622,"Fűzfa               ","utca",,0,,0,
7691,"Gabona              ","utca","Vasas",0,,0,
7621,"Gábor               ","utca",,0,,0,
7629,"Gábor Áron          ","utca",,0,,0,
7636,"Gadó                ","utca",,0,,0,
7634,"Galagonya           ","dűlő",,0,,0,
7632,"Galamb              ","utca",,0,,0,
7628,"Gálic","dülő",,0,,0,
7623,"Garay János         ","utca",,0,,0,
7632,"Gárdonyi Géza       ","utca",,0,,0,
7625,"Gáspár              ","utca",,0,,0,
7691,"Gát                 ","utca","Vasas",0,,0,
7625,"Gebauer Ernő        ","utca",,0,,0,
7634,"Gém                 ","utca",,0,,0,
7634,"Gerbera             ","utca",,0,,0,
7625,"Gergely             ","utca",,0,,0,
7630,"Gerle               ","utca",,0,,0,
7627,"Gesztenyés          ","dűlő",,0,,0,
7627,"Gesztenyés          ","utca",,0,,0,
7630,"Géza                ","utca",,0,,0,
7623,"Gizella             ","utca",,0,,0,
7621,"Goldmark Károly     ","utca",,0,,0,
7635,"Gólya               ","dűlő",,0,,0,
7630,"Gomba               ","utca",,0,,0,
7628,"Gorkij              ","utca",,0,,0,
7633,"Gosztonyi Gyula     ","utca",,0,,0,
7627,"Gödör               ","utca",,0,,0,
7628,"Gödrös ","dülő",,0,,0,
7635,"Görbe               ","dűlő",,0,,0,
7628,"Görgey Artúr        ","utca",,0,,0,
7621,"Graz","tér",,0,,0,
7628,"Grőbel Emil","utca",,0,,0,
7691,"Gubér               ","köz","Vasas",0,,0,
7630,"Gyár                ","utca",,0,,0,
7628,"Gyep","dülő",,0,,0,
7631,"Gyík                ","utca",,0,,0,
7625,"Gyopár              ","utca",,0,,0,
7622,"Gyöngy              ","utca",,0,,0,
7632,"Gyöngyös            ","utca",,0,,0,
7630,"Gyöngyösi István    ","utca",,0,,0,
7634,"Gyöngyvirág         ","utca",,0,,0,
7625,"György              ","utca",,0,,0,
7628,"György-akna",,,0,,0,
7628,"Györgytelep",,,0,,0,
7630,"Gyula               ","utca",,0,,0,
7632,"Gyulai Pál          ","utca",,0,,0,
7627,"Gyükés              ","köz",,0,,0,
7624,"Gyümölcs            ","utca",,0,,0,
7625,"Haas Mihály         ","tér",,0,,0,
7693,"Hadik András        ","utca","Hird",0,,0,
7691,"Hajadon             ","utca","Vasas",0,,0,
7636,"Hajlat              ","utca",,0,,0,
7631,"Hajmási             ","út",,0,,0,
7627,"Hajnal              ","utca",,0,,0,
7634,"Hajnalka            ","utca",,0,,0,
7633,"Hajnóczy            ","út",,0,,0,
7621,"Hal                 ","tér",,0,,0,
7623,"Hal József (Dr.)         ","utca",,0,,0,
7693,"Haladás             ","utca","Hird",0,,0,
7626,"Halász              ","utca",,0,,0,
7630,"Hamvas              ","utca",,0,,0,
7634,"Hangya              ","dűlő",,0,,0,
7628,"Hannebeck Frigyes","utca",,0,,0,
7693,"Harangláb           ","utca","Hird",0,,0,
7626,"Harangöntő          ","utca",,0,,0,
7631,"Harangszó           ","utca",,0,,0,
7693,"Harangvirág         ","utca","Hird",0,,0,
7623,"Hargita             ","utca",,0,,0,
7635,"Harkály             ","dűlő",,0,,0,
7693,"Hármashegy          ","utca","Hird",0,,0,
7634,"Harmat              ","köz",,0,,0,
7627,"Hársfa              ","út",,1,,255,
7627,"Hársfa              ","út",,2,,152,
7629,"Hársfa              ","út",,-3,,0,
7691,"Határ               ","utca","Vasas",0,,0,
7628,"Határőr             ","utca",,0,,0,
7625,"Hatház              ","utca",,0,,0,
7635,"Hattyú              ","utca",,0,,0,
7631,"Havas               ","utca",,0,,0,
7627,"Havi                ","dűlő",,0,,0,
7625,"Havihegy            ","utca",,0,,0,
7627,"Havi-hegyi          ","út",,0,,0,
7630,"Hegedűs János","utca",,0,,0,
7629,"Hegedűs Mihály      ","utca",,0,,0,
7625,"Hegyalja            ","utca",,0,,0,
7628,"Hegyes","köz",,0,,0,
7634,"Hegymeg             ","dűlő",,0,,0,
7628,"Hegy-mezői","út",,0,,0,
7623,"Heim Pál (Dr.)           ","utca",,0,,0,
7634,"Héja                ","dűlő",,0,,0,
7630,"Hengermalom         ","utca",,0,,0,
7628,"Hérics","dülő",,0,,0,
7624,"Hermann Ottó        ","utca",,0,,0,
7634,"Hetesi              ","köz",,0,,0,
7627,"Hétvezér            ","utca",,0,,0,
7627,"Hideg-Völgyi               ","út",,0,,0,
7693,"Hirdi               ","utca","Vasas",0,,0,
7626,"Hold                ","utca",,0,,0,
7635,"Holló               ","dűlő",,0,,0,
7624,"Homok               ","utca",,0,,0,
7693,"Homokbánya          ",,"Hird",0,,0,
7628,"Homokgödör","dülő",,0,,0,
7634,"Homokkő             ","utca",,0,,0,
7628,"Homoktető","utca",,0,,0,
7628,"Homokvölgy          ","utca",,0,,0,
7624,"Honvéd              ","utca",,0,,0,
7628,"Honvéd              ","köz",,0,,0,
7632,"Honvéd              ","tér",,0,,0,
7634,"Hordós              ","dűlő",,0,,0,
7631,"Horgas              ","utca",,0,,0,
7634,"Horhos              ","dűlő",,0,,0,
7631,"Hórukk              ","domb",,0,,0,
7631,"Horvát-földi        ","dűlő",,0,,0,
7631,"Hosszú-földi        ","utca",,0,,0,
7634,"Hóvirág             ","utca",,0,,0,
7623,"Hőgyes Endre        ","utca",,0,,0,
7628,"Hősök               ","tere",,0,,0,
7630,"Huba                ","utca",,0,,0,
7628,"Hun                 ","utca",,0,,0,
7624,"Hungária            ","utca",,0,,0,
7621,"Hunyadi János       ","utca",,1,,9,
7621,"Hunyadi János       ","utca",,2,,8,
7625,"Hunyadi János       ","utca",,11,,87,
7625,"Hunyadi János       ","utca",,10,,90,
7635,"Hunyadi János       ","utca",,89,,97,
7634,"Hurok               ","utca",,0,,0,
7623,"Huszár              ","utca",,0,,0,
7630,"Hűvös","utca",,0,,0,
7628,"Ibolya              ","utca",,0,,0,
7623,"Ifjúmunkás          ","utca",,0,,0,
7624,"Ifjúság             ","útja",,0,,0,
7623,"Igló                ","utca",,0,,0,
7625,"Ignác               ","utca",,0,,0,
7632,"II.János Pál","út",,0,,0,
7630,"Íjász","utca",,0,,0,
7636,"Illyés Gyula        ","út",,0,,0,
7625,"Ilona               ","utca",,0,,0,
7623,"Indóház             ","tér",,0,,0,
7622,"Ipar                ","utca",,0,,0,
7691,"Iparos              ","utca","Vasas",0,,0,
7630,"Iparsziget","utca",,0,,0,
7621,"Irgalmasok          ","utcája",,0,,0,
7628,"Irinyi János        ","utca",,0,,0,
7625,"Irma                ","utca",,0,,0,
7691,"Iskola              ","köz","Vasas",0,,0,
7627,"Istenáldásvölgyi    ","út",,0,,0,
7625,"István              ","utca",,0,,0,
7628,"István-akna",,,0,,0,
7632,"Izabella            ","utca",,0,,0,
7634,"Jácint              ","utca",,0,,0,
7624,"Jakabhegyi          ","út",,1,,17,
7624,"Jakabhegyi          ","út",,2,,14,
7635,"Jakabhegyi          ","út",,-3,,0,
7621,"János               ","utca",,0,,0,
7621,"Janus Pannonius     ","utca",,0,,0,
7627,"Jász                ","utca",,0,,0,
7623,"Jászai Mari         ","utca",,0,,0,
