"IRSZ","CíMHELY NEVE","JELLEGE","VÁROSRÉSZ","1.SZÁM","1.JEL","2.SZÁM","2.JEL"
4030,"Csoroszlya               ","utca",,0,,0,
4027,"Csörsz                   ","utca",,0,,0,
4225,"Csúcs                    ","utca","Józsa",0,,0,
4002,"Csucsor","utca",,0,,0,
4034,"Csuka                    ","utca",,0,,0,
4030,"Csutorás                 ","utca",,0,,0,
4030,"Csuvas","utca",,0,,0,
4034,"Csüri Bálint             ","utca",,0,,0,
4028,"Damjanich                ","utca",,0,,0,
4026,"Darabos                  ","utca",,0,,0,
4030,"Dárda                    ","utca",,0,,0,
4014,"Daróczi Vilmos","utca","Pallag",0,,0,
4034,"Daru                     ","utca",,0,,0,
4225,"Deák Ferenc              ","utca","Józsa",0,,0,
4031,"Déli                     ","sor",,0,,0,
4031,"Délibáb                  ","utca",,0,,0,
4028,"Dembinszky               ","utca",,0,,0,
4031,"Derekassy István","utca",,0,,0,
4031,"Derék                    ","utca",,0,,0,
4026,"Déri                     ","tér",,0,,0,
4028,"Dessewffy                ","utca",,0,,0,
4034,"Dévai                    ","utca",,0,,0,
4031,"Dévény                   ","utca",,0,,0,
4034,"Dézsi András             ","utca",,0,,0,
4033,"Diadal                   ","utca",,0,,0,
4028,"Dicsőfi                  ","utca",,0,,0,
4029,"Dienes János             ","utca",,0,,0,
4002,"Dió","utca",,0,,0,
4031,"Diófa                    ","utca",,0,,0,
4030,"Diószegi ","út",,1,,7,
4030,"Diószegi ","út",,2,,122,
4002,"Diószegi                 ","út",,-3,,0,
4031,"Dob                      ","utca",,0,,0,
4032,"Doberdó                  ","utca",,0,,0,
4028,"Dobó                     ","utca",,0,,0,
4225,"Doboka                   ","utca","Józsa",0,,0,
4030,"Doboz","utca",,0,,0,
4029,"Dobozi                   ","utca",,0,,0,
4028,"Dobsina                  ","utca",,0,,0,
4030,"Dobverő","utca",,0,,0,
4032,"Dóczy József             ","utca",,0,,0,
4002,"Dohánykert","utca",,0,,0,
4063,"Dohányos                 ","utca","Nagymacs",0,,0,
4033,"Dolmány                  ","utca",,0,,0,
4029,"Domb","utca",,0,,0,
4002,"Dombhajlat","utca",,0,,0,
4002,"Dombhát","utca",,0,,0,
4002,"Dombos                   ","tanya",,0,,0,
4002,"Domokos Márton          ","kert",,0,,0,
4002,"Domokoskert","utca",,0,,0,
4027,"Domokos Lajos           ","utca",,0,,0,
4002,"Dongó","utca",,0,,0,
4033,"Dorogi                   ","utca",,0,,0,
4031,"Dorottya                 ","utca",,0,,0,
4030,"Dorozsma","utca",,0,,0,
4024,"Dósa nádor               ","tér",,0,,0,
4027,"Dózsa György             ","utca",,0,,0,
4028,"Dugovics Titusz          ","utca",,0,,0,
4030,"Duskás Ferenc            ","utca",,0,,0,
4034,"Ecsedi István            ","utca",,0,,0,
4033,"Éden                     ","utca",,0,,0,
4031,"Egressy Béni             ","tér",,0,,0,
4027,"Egyetem               ","sugárút",,1,,27,
4027,"Egyetem               ","sugárút",,2,,30,
4032,"Egyetem                 ","sugárút",,-3,,0,
4032,"Egyetem                  ","tér",,0,,0,
4030,"Egyletkert               ","utca",,0,,0,
4026,"Egymalom                 ","utca",,0,,0,
4225,"Elek                     ","utca","Józsa",0,,0,
4030,"Előd                     ","utca",,0,,0,
4030,"Előkert","utca",,0,,0,
4028,"Ember Pál                ","utca",,0,,0,
4033,"Endre                    ","utca",,0,,0,
4029,"Eötvös                   ","utca",,0,,0,
4030,"Eper                     ","utca",,0,,0,
4030,"Eperfa","utca",,0,,0,
4030,"Eperjes","utca",,0,,0,
4031,"Építők                   ","utca",,0,,0,
4030,"Epreskert                ","utca",,0,,0,
4030,"Erdei Ferenc             ","utca",,-3,,0,
4034,"Erdei Ferenc             ","utca",,1,,13,
4034,"Erdei Ferenc             ","utca",,2,,20,
4030,"Erdély                   ","utca",,0,,0,
4030,"Erdész                   ","utca",,0,,0,
4225,"Erdőhát                  ","utca","Józsa",0,,0,
4002,"Erdőmellék","utca",,0,,0,
4002,"Erdőmester","utca",,0,,0,
4078,"Erdősor                  ","utca","Haláp",0,,0,
4002,"Erdőszél","utca",,0,,0,
4034,"Erkel Ferenc             ","utca",,0,,0,
4031,"Érmellék                 ","utca",,0,,0,
4031,"Erőss Lajos               ","utca",,0,,0,
4002,"Érpart","utca",,0,,0,
4225,"Érsek","utca","Józsa",0,,0,
4025,"Erzsébet                 ","utca",,0,,0,
4002,"Estike","utca",,0,,0,
4225,"Északi                   ","sor","Józsa",0,,0,
4030,"Esze Tamás               ","utca",,0,,0,
4033,"Éva                      ","utca",,0,,0,
4002,"Ezerjófű","utca",,0,,0,
4002,"Ezüsmoha","utca",,0,,0,
4002,"Ezüstfenyő","utca",,0,,0,
4002,"Ezüstnyár","utca",,0,,0,
4079,"Fácán                    ","utca","Bánk",0,,0,
4002,"Fagyal","utca",,0,,0,
4002,"Fagyöngy","utca",,0,,0,
4078,"Fakopáncs","utca","Haláp",0,,0,
4002,"Fancsika      ","tanya",,0,,0,
4029,"Faragó                   ","utca",,0,,0,
4029,"Faraktár                 ","utca",,1,,41,
4029,"Faraktár                 ","utca",,2,,42,
4034,"Faraktár                 ","utca",,-3,,0,
4002,"Farkas","utca",,0,,0,
4002,"Farkasalma","utca",,0,,0,
4002,"Fátyolka","utca",,0,,0,
4002,"Fátyolvirág","utca",,0,,0,
4027,"Fáy András               ","utca",,0,,0,
4029,"Fazekas Mihály           ","utca",,0,,0,
4078,"Fecske                   ","utca","Haláp",0,,0,
4034,"Fehérgyarmat","utca",,0,,0,
4002,"Fehérszilva","utca",,0,,0,
4032,"Fejedelem","utca",,0,,0,
4014,"Fekete István","utca","Pallag",0,,0,
4030,"Feketerét","utca",,0,,0,
4034,"Félegyházi Tamás         ","utca",,0,,0,
4225,"Felsőjózsai              ","utca","Józsa",0,,0,
4002,"Felsőpércsi","utca",,0,,0,
4225,"Fény                     ","utca","Józsa",0,,0,
4029,"Fényes                   ","udvar",,0,,0,
4002,"Fenyő","utca",,0,,0,
4063,"Fenyves                  ","utca","Nagymacs",0,,0,
4002,"Fészek","utca",,0,,0,
4034,"Fiákeres                 ","utca",,0,,0,
4030,"Fillér                   ","utca",,0,,0,
4002,"Fodormenta","utca",,0,,0,
4079,"Fogoly                   ","utca","Bánk",0,,0,
4030,"Fokos                    ","utca",,0,,0,
4002,"Fóliás","utca",,0,,0,
4029,"Fonatos                  ","utca",,0,,0,
4033,"Forduló","köz",,0,,0,
4031,"Forgács                  ","utca",,0,,0,
4031,"Földi J.                 ","utca",,0,,0,
4002,"Földibodza","utca",,0,,0,
4002,"Főző","utca",,0,,0,
4002,"Furmint","utca",,0,,0,
4031,"Furulya                  ","utca",,0,,0,
4033,"Futó                     ","utca",,0,,0,
4002,"Futrinka","utca",,0,,0,
4002,"Fuvallat","utca",,0,,0,
4225,"Függetlenség             ","utca","Józsa",0,,0,
4002,"Fülemüle","utca",,0,,0,
4033,"Fülöp                    ","utca",,0,,0,
4027,"Füredi                   ","utca",,1,,39,
4027,"Füredi                   ","utca",,51,,75,
4027,"Füredi                   ","utca",,2,,6,
4032,"Füredi                   ","utca",,41,,49,
4032,"Füredi                   ","utca",,-3,,0,
4031,"Fűrész                   ","utca",,0,,0,
4079,"Fürj                     ","utca","Bánk",0,,0,
4026,"Füvészkert               ","utca",,0,,0,
4002,"Füzike","utca",,0,,0,
4034,"Fűzfa","utca",,0,,0,
4033,"Gábor Áron               ","utca",,0,,0,
4028,"Gáborjáni Szabó Kálmán   ","utca",,0,,0,
4225,"Galagonya                ","utca","Józsa",0,,0,
4030,"Galamb                   ","utca",,0,,0,
4024,"Gambrinus                ","köz",,0,,0,
4026,"Garai                    ","utca",,0,,0,
4032,"Gárdonyi Géza            ","utca",,0,,0,
4034,"Gáspár Endre             ","utca",,0,,0,
4002,"Gáspárkert","utca",,0,,0,
4225,"Gát                      ","utca","Józsa",0,,0,
4030,"Gázgyár                  ","utca",,0,,0,
4030,"Gázvezeték               ","utca",,0,,0,
4002,"Gébics","utca",,0,,0,
4033,"Gépész                   ","utca",,0,,0,
4002,"Gerbera","utca",,0,,0,
4028,"Géresi                ","utca",,0,,0,
4030,"Gergely                  ","utca",,0,,0,
4002,"Gerle","utca",,0,,0,
4030,"Gesztenye                ","utca",,0,,0,
4031,"Géza                     ","utca",,0,,0,
4030,"Ghilányi                 ","utca",,0,,0,
4030,"Gizella                  ","utca",,0,,0,
4034,"Gogol                    ","utca",,0,,0,
4031,"Gohér                    ","utca",,0,,0,
4029,"Gólya                    ","utca",,0,,0,
4033,"Golyó                    ","utca",,0,,0,
4002,"Gombvirág","utca",,0,,0,
4033,"Gorkij                   ","utca",,0,,0,
4225,"Gönczy Pál               ","utca","Józsa",0,,0,
4026,"Görbe                    ","utca",,0,,0,
4031,"Görgény                  ","utca",,0,,0,
4032,"Görgey                   ","utca",,0,,0,
4033,"Görög                    ","utca",,0,,0,
4002,"Gilice","köz",,0,,0,
4033,"Gránát","utca",,0,,0,
4002,"Gubacs                   ","utca",,0,,0,
4032,"Gulyás Pál               ","utca",,0,,0,
4002,"Guti                     ","utca",,0,,0,
4028,"Gvadányi                 ","utca",,0,,0,
4033,"Gyalog","utca",,0,,0,
4031,"Gyár                     ","utca",,0,,0,
4002,"Gyékény","utca",,0,,0,
4031,"Gyepűsor                 ","utca",,0,,0,
4026,"Gyergyó                  ","utca",,0,,0,
4032,"Gyimes                   ","utca",,0,,0,
4031,"Gyolcsos                 ","utca",,0,,0,
4030,"Gyoma","utca",,0,,0,
4002,"Gyopár","utca",,0,,0,
4002,"Gyömbér","utca",,0,,0,
4002,"Gyöngyike","utca",,0,,0,
4032,"Gyöngyösi                ","utca",,0,,0,
4002,"Gyöngyszem","utca",,0,,0,
4002,"Gyöngyvessző","utca",,0,,0,
4028,"Gyöngyvirág              ","utca",,0,,0,
4030,"Győrffy István           ","utca",,0,,0,
4033,"György                   ","utca",,0,,0,
4031,"Gyulai                   ","utca",,0,,0,
4002,"Gyurgyalag","utca",,0,,0,
4063,"Gyümölcs              ","utca","Nagymacs",0,,0,
4033,"Gyűrű                    ","utca",,0,,0,
4002,"Gyűszűvirág","utca",,0,,0,
4028,"Hadházi                  ","utca",,0,,0,
4225,"Hadvezér                 ","utca","Józsa",0,,0,
4029,"Hajnal                   ","utca",,0,,0,
4026,"Hajó                     ","utca",,0,,0,
4033,"Hajós Alfréd             ","utca",,0,,0,
4025,"Hal                      ","köz",,0,,0,
4225,"Haladás                  ","utca","Józsa",0,,0,
4024,"Haláp                    ","utca",,0,,0,
